PositionRelPAS_kb	Avg_E_bound	Avg_Ser2P
-12.5	0.201268593712306	0.700817410536819
-12.4	0.204251435971206	0.711203684971627
-12.3	0.207232591868525	0.721584088004922
-12.2	0.210211691743284	0.731957332475424
-12.1	0.213188371614112	0.742322150997945
-12	0.216162273301818	0.752677296390219
-11.9	0.219133044542359	0.763021542066239
-11.8	0.222100339090369	0.773353682396765
-11.7	0.225063816813489	0.783672533037788
-11.6	0.2280231437777	0.793976931227653
-11.5	0.230977992323881	0.804265736053664
-11.4	0.233928041135835	0.814537828688942
-11.3	0.236872975299994	0.824792112600331
-11.2	0.239812486357062	0.835027513728221
-11.1	0.242746272345809	0.845242980639058
-11	0.245674037839287	0.855437484651448
-10.9	0.248595493973687	0.865610019936654
-10.8	0.251510358470104	0.875759603594369
-10.7	0.254418355649428	0.885885275704599
-10.6	0.257319216440636	0.895986099356536
-10.5	0.260212678382717	0.906061160655258
-10.4	0.26309848562047	0.916109568707118
-10.3	0.265976388894425	0.926130455584666
-10.2	0.26884614552515	0.936122976271976
-10.1	0.271707519392125	0.946086308591149
-10	0.274560280907504	0.956019653110909
-9.9	0.277404206984926	0.965922233038035
-9.8	0.280239081003649	0.975793294092493
-9.7	0.283064692768228	0.98563210436702
-9.6	0.28588083846396	0.995437954171996
-9.5	0.288687320608307	1.00521015586633
-9.4	0.291483947998543	1.01494804367513
-9.3	0.294270535655805	1.02465097349494
-9.2	0.297046904765789	1.03431832268724
-9.1	0.299812882616265	1.04394948986084
-9	0.302568302531632	1.05354389464408
-8.9	0.305313003804709	1.06310097744724
-8.8	0.308046831625925	1.07262019921609
-8.7	0.310769637010136	1.082101041177
-8.6	0.313481276721207	1.09154300457437
-8.5	0.316181613194561	1.10094561040091
-8.4	0.318870514457848	1.1103083991215
-8.3	0.321547854049915	1.11963093039096
-8.2	0.324213510938211	1.12891278276651
-8.1	0.326867369434807	1.13815355341535
-8	0.329509319111169	1.14735285781789
-7.9	0.33213925471181	1.15651032946711
-7.8	0.334757076066984	1.16562561956455
-7.7	0.337362688004556	1.17469839671344
-7.6	0.33995600026113	1.18372834660928
-7.5	0.342536927392627	1.19271517172848
-7.4	0.345105388684376	1.20165859101522
-7.3	0.347661308060842	1.21055833956726
-7.2	0.350204613995114	1.21941416832066
-7.1	0.352735239418254	1.2282258437342
-7	0.355253121628572	1.23699314747347
-6.9	0.35775820220097	1.2457158760952
-6.8	0.360250426896397	1.254393840732
-6.7	0.362729745571535	1.26302686677786
-6.6	0.365196112088778	1.27161479357474
-6.5	0.367649484226579	1.28015747410035
-6.4	0.370089823590237	1.28865477465758
-6.3	0.372517095523206	1.29710657456562
-6.2	0.374931269018966	1.30551276585313
-6.1	0.37733231663354	1.31387325295359
-6	0.379720214398683	1.3221879524031
-5.9	0.38209494173583	1.33045679254065
-5.8	0.384456481370837	1.33867971321134
-5.7	0.386804819249528	1.34685666547226
